index	event	rel	is_certain(1:certain; 0:uncertain)	gene/protein	disease	sentence
124	A.1 Over-expression	E. Associate	1	LIGHT	chf	Real-time quantitative RT-PCR confirmed significantly upregulated gene expression of APRIL, LIGHT, FasL and CD27L in CHF patients and showed in addition significantly enhanced gene expression of TNFalpha and TRAIL.
125	M.1 Knock down	H. Benefit	1	cyclophilin D	heart failure	Double-knockout mice lacking MCL-1 and cyclophilin D, an essential regulator of the mPTP, exhibited delayed progression to heart failure and extended survival.
126	L. Be regulated	C. Cause	1	AT1R	heart failure	Regulation of angiotensin II type 1 receptor (AT1R) has a pathophysiological role in hypertension, atherosclerosis and heart failure.
127	A.1 Over-expression	E. Associate	1	urotensin II	congestive heart failure (CHF)	Expression of urotensin II (UII) is significantly elevated in the hearts of patients with congestive heart failure (CHF).
128	A.1 Over-expression	H. Benefit	1	RAMP1	CHRONIC HEART FAILURE	The above results demonstrated in the atria of heart failure patients an up-regulation of CGRP receptor by an increase of RAMP1 in association with CRLR and an up-regulation of ADM receptor by an increase of RAMP2 expression in association with CRLR, thus suggesting that CGRP and ADM receptors be playing a functional role in compensating the chronic heart failure in human.
129	J. Inhibition	A. Treat	1	ACE	heart failure	Recent studies have found that combined inhibition of ACE and neutral endopeptidase (NEP) may have a greater beneficial effect in the treatment of heart failure than inhibition of ACE alone.
130	A.1 Over-expression	E. Associate	1	osteopontin	heart failure	Increased myocardial expression of osteopontin in patients with advanced heart failure.
131	D.1 Mutation	E. Associate	1	BAG3	heart failure	Four BAG3 genetic variants were identified; these were expressed in 42 of 402 African American individuals (10.4%) with nonischemic heart failure and 9 of 107 African American individuals (8.4%) with ischemic heart failure but were not present in a reference population of European ancestry (P < .001).
132	A.1 Over-expression	E. Associate	1	PLB	heart failure	Accordingly, inactivation of TRα1 receptor prevents reactive hypertrophy after myocardial infarction and results in heart failure with increased phospholamban (PLB) expression and marked activation of p38MAPK.
133	J. Inhibition	A. Treat	1	ACE	heart failure	There is now conclusive evidence that most patients with heart failure due to left ventricular systolic dysfunction should be treated with angiotensin converting enzyme (ACE) inhibitors and beta-blockers.
134	L.1 Up-regulation	C. Cause	1	TLR4	CHRONIC HEART FAILURE	This study suggests that upregulation of monocyte TLR4 may contribute to the pathophysiology of chronic heart failure.
135	G. Regulate	E. Associate	1	renin	congestive heart failure	The renin-angiotensin system is an important regulator of vascular resistance in many patients with hypertension and congestive heart failure.
136	L.1 Up-regulation	C. Cause	1	PYK2	heart failure	Up-regulation and activation of PYK2, a member of the FAK family of protein tyrosine kinases, is involved in the pathogenesis of left ventricular (LV) remodeling and heart failure (HF).
137	G. Regulate	E. Associate	1	eNOS	heart failure	Endothelial nitric oxide synthase (eNOS), VEGF, and hypoxia-inducible factor 1-alpha (HIF-1alpha) are important regulators of endothelial function, which plays a role in the pathophysiology of heart failure (HF).
138	A.1 Over-expression	E. Associate	1	CT-1	congestive heart failure (CHF)	Both cardiotrophin-1 (CT-1) and B-type or brain natriuretic peptide (BNP) are activated by cardiomyocyte stretch, and gene expression of CT-1 and BNP are augmented in the heart in experimental and human congestive heart failure (CHF).
139	F. Epigenetic modification	E. Associate	1	phospholamban	heart failure	The progression of human heart failure is associated with increased protein phosphatase 1 (PP1) activity, which leads to a higher dephosphorylation of cardiac regulatory proteins such as phospholamban.
140	A.2 Under-expression	H. Benefit	1	NLRP3	heart failure	Short-term treatment with colchicine successfully attenuated pro-inflammatory cytokines and NLRP3 inflammasome, and improved cardiac function, heart failure, and survival after MI.
141	J. Inhibition	A. Treat	1	ACE	heart failure	Renal reserve was explored by means of an oral protein load (2 g/kg body weight) under the form of cooked red meat in a group of 9 patients with end-stage heart failure (ESHF), class III of the New York Heart Association receiving loop diuretics and angiotensin-converting enzyme (ACE) inhibitors, and in a group of 18 healthy controls (HC) matched for age, gender, and height under an identical dietary regimen providing 40 cal/kg per day, 1 g/kg body weight of protein per day, Na 120 mmol/day, and K 50 mmol/day.
142	A.1 Over-expression	E. Associate	1	BNP	heart failure	Plasma concentrations of atrial natriuretic peptide (ANP) and its second messenger cGMP as humoral markers of heart failure as well as ventricular expression of ANP- and brain natriuretic peptide (BNP)-mRNA were significantly increased in mice with shunt compared to control mice.
143	I. None	A. Treat	1	EPO	heart failure	It thus appears that Stat-mediated reduction of inflammation and cytokine production and Akt-mediated attenuation of oxidative stress accompany the beneficial effects of late treatment with EPO on chronic post-MI heart failure.
144	J. Inhibition	A. Treat	1	angiotensin-converting enzyme	chronic congestive heart failure	Imidapril hydrochloride (imidapril) is a long-acting, non-sulfhydryl angiotensin-converting enzyme (ACE) inhibitor, which has been used clinically in the treatment of hypertension, chronic congestive heart failure (CHF), acute myocardial infarction (AMI), and diabetic nephropathy.
145	I. None	A. Treat	1	ARB	CHRONIC HEART FAILURE	However, there are few reports concerning AR expression and the protective effect of angiotensin II receptor blockers (ARB) on the lung in chronic heart failure (CHF).
146	M.2 Knock in	C. Cause	0	AR	heart failure	Using a transgenic mouse model of myocardial-targeted overexpression of the wild-type alpha1B adrenergic receptor (AR) (Tg alpha43), we studied the role of the betaAR kinase (betaARK1) in the evolution of myocardial hypertrophy and its transition to heart failure (HF).
147	I. None	E. Associate	1	IK1	chf	Knockdown of endogenous microRNA-26 to mimic CHF effects unregulated IK1.
148	A. Expression	E. Associate	1	GRK6	hypertensive heart failure	In this study, we determined the expression and subcellular distribution of GRK2, GRK3, GRK5, and GRK6 in cardiac myocytes of 2- to 24-month-old spontaneously hypertensive heart failure (SHHF) rats.
149	L. Be regulated	E. Associate	0	endothelin-1	congestive heart failure	We hypothesized that increased pulmonary vascular pressure--one of the characteristics of congestive heart failure--directly regulates pulmonary endothelial vasoconstrictors (endothelin-1, urotensin II) and vasodilators (adrenomedullin, relaxin).
150	G. Regulate	E. Associate	0	COX	heart failure	It is unknown whether microsomal (m) prostaglandin (PG) E synthase (S)-1, a target downstream of COX, regulates myocardial (M) ischemia/reperfusion (I/R) injury, a key determinant of heart failure.
151	I. None	E. Associate	0	GH	CHRONIC HEART FAILURE	This study evaluated the effects of growth hormone (GH) on morphology and myogenic regulatory factors (MRF) gene expression in skeletal muscle of rats with ascending aortic stenosis (AAS) induced chronic heart failure.
152	G. Regulate	E. Associate	0	SCN5A	heart failure	Splicing factor expression profiles during human heart failure and a specific splicing pathway for SCN5A regulation were explored in this study.
153	A. Expression	E. Associate	1	Bcl-2	heart failure	Changes in the expression of Bcl-2 and Bax and their transcriptional regulator, p53, were determined by Western blot analysis in myocytes isolated from dogs affected by pacing-induced heart failure.
154	A. Expression	E. Associate	1	STIM1	heart failure	To determine the mechanistic role of STIM1 in cardiac hypertrophy and during the transition to heart failure, we manipulated STIM1 expression in mice cardiomyocytes by using in vivo gene delivery of specific short hairpin RNAs.
155	D.5 Polymorphism	E. Associate	1	ADRB1	systolic heart failure	Effects of GRK5 and ADRB1 polymorphisms influence on systolic heart failure.
156	I. None	E. Associate	0	renin	congestive heart failure	In this study, we investigated the role of the renin-angiotensin system in expression of the endothelin system in atrial myocardium of patients with congestive heart failure.
157	A. Expression	E. Associate	0	IL6	heart failure	The study objective was to assess the cardiac expression of interleukin-6 (IL6) and its receptor (IL6R) in advanced heart failure.
158	A. Expression	E. Associate	0	aquaporin-2	congestive heart failure (CHF)	This study investigated the effect of fosinopril (Fos), valsartan (Val), and combination of both drugs (Fos + Val) on the cardiac and renal expression of aquaporin-1 (AQP1) and aquaporin-2 (AQP2) in congestive heart failure (CHF).
159	A. Expression	E. Associate	0	HDAC9	CHRONIC HEART FAILURE	Thus, we aim to investigate the expression of HDAC 9 in patients with chronic heart failure (CHF) and the relationship among HDAC9, Tregs and CHF.
160	A. Expression	E. Associate	1	CAT-1	Acute Congestive Heart Failure	The biological effect of pharmacological treatment on dimethylaminohydrolases (DDAH-1) and cationic amino acid transporter-1 (CAT-1) expression in patients with acute congestive heart failure.
161	A. Expression	E. Associate	0	BK	heart failure	We sought to study the expression of bradykinin type-2 receptors (BK-2Rs) in patients with heart failure (HF).
162	D.1 Mutation	E. Associate	0	LMNA	heart failure	Between January, 2008 and June, 2012 two patient populations were screened for the presence of LMNA mutations by direct sequencing: 66 dilated cardiomyopathy patients including 27 heart transplant recipients and 39 dilated cardiomyopathy patients with heart failure referred for heart transplantation evaluation, and 44 consecutive dilated cardiomyopathy patients, referred for a family evaluation and mutation screening.
163	I. None	E. Associate	0	CNP	heart failure	The actions of single doses (100 ng x kg(-1) x min(-1) iv over 30 min) of atrial natriuretic peptide (ANP), brain natriuretic peptide (BNP), and C-type natriuretic peptide (CNP) were studied in conscious normal dogs and in dogs with pacing-induced heart failure.
